timestamp;q0;dq0;tau0;q1;dq1;tau1;q2;dq2;tau2;q3;dq3;tau3;q4;dq4;tau4;q5;dq5;tau5;q6;dq6;tau6;q7;dq7;tau7;q8;dq8;tau8;q9;dq9;tau9;q10;dq10;tau10;q11;dq11;tau11;ff0;ff1;ff2;ff3;px0;py0;pz0;px1;py1;pz1;px2;py2;pz2;px3;py3;pz3
1758267957.648250102997;0.142486;0.000804;0.589844;0.813860;0.017826;0.468750;-1.638579;-0.003580;5.710938;-0.050745;0.006724;-1.062500;0.847105;-0.006636;0.121094;-1.599421;-0.004841;3.632812;0.067640;-0.018483;1.109375;0.857096;-0.001486;-0.121094;-1.625056;-0.012659;5.675781;0.026584;-0.002451;-1.953125;0.770987;-0.015801;0.664062;-1.551824;0.000296;3.671875;369;142;320;150;0.189679;-0.084638;-0.299256;0.174035;0.111587;-0.300232;-0.201158;-0.106769;-0.297402;-0.186621;0.134822;-0.301829
1758267957.668455123901;0.142486;0.001875;0.617188;0.813860;0.011559;0.468750;-1.638579;0.000214;5.675781;-0.050806;-0.000206;-1.035156;0.847105;-0.005195;0.343750;-1.599421;-0.003130;3.632812;0.067761;0.002571;1.234375;0.857096;-0.008355;0.023438;-1.625015;0.002349;5.859375;0.026644;0.004099;-1.828125;0.770987;0.000198;0.765625;-1.551824;0.000289;3.781250;369;142;319;149;0.189679;-0.084638;-0.299256;0.174028;0.111568;-0.300242;-0.201158;-0.106751;-0.297406;-0.186602;0.134822;-0.301828
1758267957.688449382782;0.142425;-0.023115;0.664062;0.813860;0.008514;0.417969;-1.638579;-0.000188;5.601562;-0.050745;0.008626;-1.062500;0.847105;0.013888;0.292969;-1.599421;-0.001201;3.671875;0.067701;-0.001588;1.160156;0.857096;-0.003625;-0.046875;-1.625015;0.000468;5.898438;0.026584;-0.004013;-1.828125;0.771048;0.007436;0.640625;-1.551824;0.000093;3.671875;369;142;319;149;0.189679;-0.084638;-0.299256;0.174035;0.111587;-0.300232;-0.201158;-0.106751;-0.297406;-0.186602;0.134822;-0.301828
1758267957.708422660828;0.142486;0.000830;0.664062;0.813799;-0.006068;0.542969;-1.638579;0.000090;5.675781;-0.050745;0.009544;-1.136719;0.847105;-0.001294;0.292969;-1.599380;0.006058;3.671875;0.067701;0.002582;1.160156;0.857157;0.010308;-0.046875;-1.625015;0.001828;5.750000;0.026584;-0.000958;-1.878906;0.770987;-0.014125;0.664062;-1.551865;-0.007779;3.855469;369;143;320;149;0.189697;-0.084638;-0.299256;0.174052;0.111587;-0.300233;-0.201176;-0.106769;-0.297401;-0.186602;0.134822;-0.301828
1758267957.728631973267;0.142486;0.003360;0.640625;0.813799;-0.002192;0.492188;-1.638579;-0.000350;5.710938;-0.050745;0.011009;-1.085938;0.847105;-0.000027;0.394531;-1.599421;0.000044;3.781250;0.067701;-0.000286;1.160156;0.857096;0.008977;-0.023438;-1.625015;-0.000062;5.710938;0.026584;-0.000598;-1.976562;0.770987;-0.001944;0.691406;-1.551865;-0.005462;3.671875;369;143;319;149;0.189697;-0.084638;-0.299256;0.174035;0.111587;-0.300232;-0.201158;-0.106769;-0.297402;-0.186602;0.134804;-0.301834
1758267957.748842954636;0.142486;0.000012;0.589844;0.813799;-0.007549;0.441406;-1.638579;-0.002253;5.601562;-0.050745;0.012290;-1.011719;0.847105;0.001259;0.292969;-1.599421;-0.001371;3.597656;0.067640;-0.003639;1.136719;0.857096;-0.000426;-0.097656;-1.625015;0.002899;5.785156;0.026584;0.000016;-1.730469;0.771048;0.001341;0.640625;-1.551824;0.001582;3.781250;369;143;319;149;0.189679;-0.084638;-0.299256;0.174035;0.111587;-0.300232;-0.201158;-0.106769;-0.297402;-0.186602;0.134804;-0.301834
1758267957.768496274948;0.142425;-0.002057;0.664062;0.813799;-0.007669;0.542969;-1.638579;0.000150;5.601562;-0.050806;0.000509;-1.011719;0.847105;-0.008565;0.292969;-1.599380;0.005484;3.746094;0.067640;-0.021405;1.183594;0.857157;0.009810;-0.070312;-1.625015;-0.001952;5.898438;0.026584;-0.008557;-1.878906;0.770987;-0.000729;0.738281;-1.551824;-0.000389;3.632812;369;143;319;149;0.189679;-0.084638;-0.299256;0.174035;0.111587;-0.300232;-0.201158;-0.106769;-0.297402;-0.186627;0.134804;-0.301840
1758267957.788702487946;0.142486;-0.000646;0.664062;0.813799;-0.005489;0.441406;-1.638579;-0.000178;5.562500;-0.050806;0.000262;-1.035156;0.847105;0.001730;0.269531;-1.599421;-0.002252;3.632812;0.067761;0.015963;1.136719;0.857096;-0.005161;0.000000;-1.625015;0.000062;5.785156;0.026584;-0.008286;-1.851562;0.770987;-0.001573;0.640625;-1.551824;0.000057;3.632812;369;143;319;149;0.189679;-0.084638;-0.299256;0.174052;0.111587;-0.300233;-0.201152;-0.106787;-0.297392;-0.186602;0.134804;-0.301834
1758267957.808451414108;0.142486;0.000176;0.542969;0.813799;-0.006644;0.441406;-1.638579;0.000837;5.601562;-0.050806;0.000504;-1.109375;0.847105;-0.000611;0.171875;-1.599421;0.000098;3.632812;0.067640;-0.004563;1.160156;0.857096;-0.000728;0.000000;-1.625015;0.001265;5.750000;0.026644;0.008222;-1.828125;0.770987;-0.008366;0.640625;-1.551824;0.001929;3.707031;369;143;319;149;0.189697;-0.084638;-0.299256;0.174035;0.111587;-0.300232;-0.201158;-0.106787;-0.297398;-0.186621;0.134822;-0.301829
1758267957.829015493393;0.142486;0.000601;0.589844;0.813799;-0.007410;0.589844;-1.638579;-0.000265;5.636719;-0.050806;-0.004618;-1.062500;0.847105;0.000316;0.343750;-1.599421;-0.000397;3.632812;0.067640;-0.007623;1.085938;0.857096;-0.000249;-0.121094;-1.625015;0.004774;5.898438;0.026584;-0.001246;-1.953125;0.771048;-0.000438;0.714844;-1.551824;-0.000322;3.671875;369;143;319;149;0.189679;-0.084638;-0.299256;0.174035;0.111587;-0.300232;-0.201158;-0.106787;-0.297398;-0.186621;0.134804;-0.301834
